example_id                                                                                           | status  | run_time        |
./spec/services/comparison_product_spec.rb[1:3:1]                                                    | passed  | 0.02011 seconds |
./spec/services/comparison_product_spec.rb[1:3:2:1]                                                  | passed  | 0.01633 seconds |
./spec/services/comparison_product_spec.rb[1:3:2:2]                                                  | passed  | 0.0175 seconds  |
./spec/services/comparison_product_spec.rb[1:4:1:1]                                                  | passed  | 0.03007 seconds |
./spec/services/comparison_product_spec.rb[1:4:2:1]                                                  | passed  | 0.0219 seconds  |
./spec/services/comparison_product_spec.rb[1:5:1:1]                                                  | passed  | 0.02378 seconds |
./spec/services/comparison_product_spec.rb[1:5:2:1]                                                  | passed  | 0.0253 seconds  |
./spec/services/comparison_product_spec.rb[1:6:1]                                                    | passed  | 0.00751 seconds |
./spec/services/comparison_product_spec.rb[1:7:1]                                                    | passed  | 0.00844 seconds |
./spec/services/matched_coverage_comparison_products_spec.rb[1:1:1:1]                                | passed  | 0.00171 seconds |
./spec/services/matched_coverage_comparison_products_spec.rb[1:1:2:1]                                | passed  | 0.00137 seconds |
./spec/services/matched_coverage_comparison_products_spec.rb[1:1:3:1]                                | passed  | 0.00118 seconds |
./spec/services/matched_coverage_comparison_products_spec.rb[1:2:1:1]                                | passed  | 0.00129 seconds |
./spec/services/matched_coverage_comparison_products_spec.rb[1:2:2:1]                                | passed  | 0.00106 seconds |
./spec/services/matched_coverage_comparison_products_spec.rb[1:2:3:1]                                | passed  | 0.00127 seconds |
./spec/services/matched_coverage_comparison_products_spec.rb[1:3:1:1]                                | passed  | 0.00123 seconds |
./spec/services/matched_coverage_comparison_products_spec.rb[1:3:2:1]                                | passed  | 0.00144 seconds |
./spec/services/matched_coverage_comparison_products_spec.rb[1:4:1:1]                                | passed  | 0.00121 seconds |
./spec/services/matched_coverage_comparison_products_spec.rb[1:4:2:1]                                | passed  | 0.00142 seconds |
./spec/system/add_corporate_health_insurance_product_to_comparison_table_spec.rb[1:1]                | passed  | 2.16 seconds    |
./spec/system/add_individual_international_health_insurance_product_to_comparison_table_spec.rb[1:1] | passed  | 1.07 seconds    |
./spec/system/admin/admin_dashboard_system_spec.rb[1:1]                                              | passed  | 0.20984 seconds |
./spec/system/admin/admin_dashboard_system_spec.rb[1:2]                                              | passed  | 0.03428 seconds |
./spec/system/show_suitable_plans_spec.rb[1:1]                                                       | pending | 0.00001 seconds |
./spec/system/users/new_user_system_spec.rb[1:1]                                                     | passed  | 0.17666 seconds |
./spec/system/users/new_user_system_spec.rb[1:2]                                                     | passed  | 0.02693 seconds |
./spec/system/users/user_login_and_logout_system_spec.rb[1:1:1]                                      | passed  | 0.06432 seconds |
./spec/system/users/user_login_and_logout_system_spec.rb[1:1:2]                                      | passed  | 0.07458 seconds |
